epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.62992,1.96223,4.48349,1.60196,0,0,0,0,2.06112,4.65882,1.49292,0,0,0
2,4.76609,1.97828,4.52681,1.62446,0,0,0,0,2.0396,4.65766,1.47936,8.91002e-06,8.91002e-06,8.91002e-06
3,6.91331,1.82298,4.4185,1.57123,0,0,0,0,2.00709,4.65436,1.45698,1.74601e-05,1.74601e-05,1.74601e-05
4,9.00235,1.76099,4.51009,1.4858,0,0,0,0,1.95243,4.64806,1.42424,2.56502e-05,2.56502e-05,2.56502e-05
5,11.0633,1.77224,4.48561,1.52562,0,0,0,0,1.87217,4.63963,1.3843,3.34803e-05,3.34803e-05,3.34803e-05
6,13.1422,1.82183,4.40415,1.46096,0,0,0,0,1.82737,4.62706,1.3637,4.09505e-05,4.09505e-05,4.09505e-05
7,15.2162,1.63162,4.35566,1.4222,0,0,0,0,1.73988,4.61805,1.30634,4.80606e-05,4.80606e-05,4.80606e-05
8,17.2789,1.7225,4.3925,1.36026,0,0,0,0,1.6565,4.59314,1.24395,5.48109e-05,5.48109e-05,5.48109e-05
9,19.329,1.50792,4.28118,1.29394,0,0,0,0,1.61573,4.58251,1.19846,6.12012e-05,6.12012e-05,6.12012e-05
10,21.3619,1.57951,4.21582,1.28478,0,0,0,0,1.57619,4.55774,1.17095,6.72315e-05,6.72315e-05,6.72315e-05
11,23.5445,1.44033,4.1454,1.20899,0,0,0,0,1.55945,4.53538,1.14882,7.29018e-05,7.29018e-05,7.29018e-05
12,25.6646,1.51607,4.1858,1.21135,0,0,0,0,1.59151,4.49593,1.13723,7.82122e-05,7.82122e-05,7.82122e-05
13,27.7858,1.44461,4.10928,1.22553,0,0,0,0,1.62306,4.4568,1.12479,8.31626e-05,8.31626e-05,8.31626e-05
14,29.8694,1.60584,4.11167,1.18103,0,0,0,0,1.60551,4.41726,1.11076,8.7753e-05,8.7753e-05,8.7753e-05
15,32.0522,1.36887,3.89974,1.11473,0,0,0,0,1.59187,4.35842,1.08486,9.19835e-05,9.19835e-05,9.19835e-05
16,34.153,1.47873,3.83464,1.0983,0,0,0,0,1.61398,4.31046,1.06758,9.5854e-05,9.5854e-05,9.5854e-05
17,36.2467,1.37222,3.76292,1.07876,0,0,0,0,1.59593,4.28319,1.04917,9.93646e-05,9.93646e-05,9.93646e-05
18,38.297,1.41913,3.79831,1.05188,0,0,0,0,1.59593,4.28319,1.04917,0.000102515,0.000102515,0.000102515
19,40.3278,1.34306,3.62702,1.07528,0,0,0,0,1.54288,4.26787,1.03291,0.000105306,0.000105306,0.000105306
20,42.4199,1.4345,3.69662,1.05119,0,0,0,0,1.54288,4.26787,1.03291,0.000107736,0.000107736,0.000107736
21,44.5034,1.4401,3.48951,1.11347,0,0,0,0,1.53711,4.26367,1.02939,0.000109807,0.000109807,0.000109807
22,46.6058,1.38843,3.52799,1.05757,0,0,0,0,1.53711,4.26367,1.02939,0.000111518,0.000111518,0.000111518
23,48.6916,1.45511,3.52671,1.09221,0,0,0,0,1.51798,4.25686,1.03258,0.000112869,0.000112869,0.000112869
24,50.7488,1.31902,3.28075,0.99391,0,0,0,0,1.51798,4.25686,1.03258,0.00011386,0.00011386,0.00011386
25,52.8106,1.52811,3.5391,1.13905,0,0,0,0,1.47666,4.23555,1.02128,0.00011449,0.00011449,0.00011449
26,54.8212,1.436,3.3417,1.04954,0,0,0,0,1.47666,4.23555,1.02128,0.000114761,0.000114761,0.000114761
27,56.9255,1.32973,3.0642,1.06211,0.00463,0.02381,0.00624,0.00062,1.44322,4.20297,1.01205,0.000114672,0.000114672,0.000114672
28,59.0095,1.36427,3.1811,1.03882,0.00463,0.02381,0.00624,0.00062,1.44322,4.20297,1.01205,0.000114223,0.000114223,0.000114223
29,61.1114,1.41987,3.23009,1.03311,0.00472,0.02381,0.00759,0.00076,1.41847,4.17145,1.0007,0.000113414,0.000113414,0.000113414
30,63.1517,1.28742,2.99449,1.03544,0.00472,0.02381,0.00759,0.00076,1.41847,4.17145,1.0007,0.000112245,0.000112245,0.000112245
31,65.1771,1.38063,2.91179,1.1163,0.06403,0.03175,0.03857,0.0062,1.41938,4.12564,1.00106,0.000110716,0.000110716,0.000110716
32,67.2424,1.40284,2.81901,1.08449,0.06403,0.03175,0.03857,0.0062,1.41938,4.12564,1.00106,0.000108827,0.000108827,0.000108827
33,69.332,1.39101,2.76966,1.02852,0.08495,0.03175,0.04964,0.01118,1.41653,4.07565,1.00835,0.000106578,0.000106578,0.000106578
34,71.4264,1.42193,2.75828,1.06392,0.08495,0.03175,0.04964,0.01118,1.41653,4.07565,1.00835,0.00010397,0.00010397,0.00010397
