epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,73.5219,1.26135,2.78476,1.02819,0.07143,0.02381,0.04082,0.01757,1.42432,4.02619,1.01092,0.000101001,0.000101001,0.000101001
36,75.6052,1.32176,2.60932,1.05592,0.07143,0.02381,0.04082,0.01757,1.42432,4.02619,1.01092,9.76721e-05,9.76721e-05,9.76721e-05
37,77.6662,1.22115,2.6231,1.00374,0.06654,0.07143,0.04338,0.02516,1.43221,3.9645,1.00919,9.39833e-05,9.39833e-05,9.39833e-05
38,79.7287,1.23401,2.50817,1.04905,0.06654,0.07143,0.04338,0.02516,1.43221,3.9645,1.00919,8.99346e-05,8.99346e-05,8.99346e-05
39,81.7607,1.23246,2.435,1.04288,0.04899,0.07143,0.05869,0.04223,1.43457,3.90699,1.00976,8.5526e-05,8.5526e-05,8.5526e-05
40,83.8575,1.31614,2.52141,1.01323,0.04899,0.07143,0.05869,0.04223,1.43457,3.90699,1.00976,8.07574e-05,8.07574e-05,8.07574e-05
41,85.9074,1.3413,2.40846,1.04608,0.04979,0.11905,0.07864,0.05026,1.43343,3.85687,1.00855,7.56288e-05,7.56288e-05,7.56288e-05
42,87.8862,1.3728,2.39949,1.00334,0.04979,0.11905,0.07864,0.05026,1.43343,3.85687,1.00855,7.01403e-05,7.01403e-05,7.01403e-05
43,89.9096,1.29433,2.38279,1.0346,0.05801,0.14286,0.08925,0.05471,1.44063,3.81172,1.01082,6.42918e-05,6.42918e-05,6.42918e-05
44,91.9044,1.28889,2.34288,1.02695,0.05801,0.14286,0.08925,0.05471,1.44063,3.81172,1.01082,5.80833e-05,5.80833e-05,5.80833e-05
45,93.9012,1.25351,2.31172,1.02897,0.06045,0.15079,0.09724,0.06383,1.43595,3.77256,1.01262,5.15148e-05,5.15148e-05,5.15148e-05
46,95.895,1.24992,2.25968,1.03022,0.06045,0.15079,0.09724,0.06383,1.43595,3.77256,1.01262,4.45864e-05,4.45864e-05,4.45864e-05
47,97.8957,1.2736,2.34152,1.02164,0.05655,0.15873,0.1013,0.07125,1.4333,3.73272,1.01195,3.72981e-05,3.72981e-05,3.72981e-05
48,99.8939,1.23819,2.20851,0.9855,0.05655,0.15873,0.1013,0.07125,1.4333,3.73272,1.01195,2.96498e-05,2.96498e-05,2.96498e-05
49,101.888,1.3158,2.17035,1.04849,0.06303,0.18254,0.10919,0.07612,1.4293,3.69732,1.01073,2.16415e-05,2.16415e-05,2.16415e-05
50,103.872,1.34917,2.30769,1.0322,0.06303,0.18254,0.10919,0.07612,1.4293,3.69732,1.01073,1.32732e-05,1.32732e-05,1.32732e-05
