epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.22899,1.96223,4.48349,1.60196,0,0,0,0,2.06112,4.65882,1.49292,0,0,0
2,4.25356,1.97828,4.52681,1.62446,0,0,0,0,2.04029,4.65771,1.47989,8.64005e-06,8.64005e-06,8.64005e-06
3,6.29745,1.82362,4.41855,1.57182,0,0,0,0,2.00949,4.65461,1.45885,1.63802e-05,1.63802e-05,1.63802e-05
4,8.36304,1.7635,4.51101,1.4878,0,0,0,0,1.962,4.649,1.4295,2.32204e-05,2.32204e-05,2.32204e-05
5,10.4346,1.77968,4.48779,1.53113,0,0,0,0,1.88715,4.64167,1.39202,2.91607e-05,2.91607e-05,2.91607e-05
6,12.475,1.83881,4.41059,1.47327,0,0,0,0,1.84424,4.63284,1.37183,3.42011e-05,3.42011e-05,3.42011e-05
7,14.5425,1.65946,4.37115,1.43763,0,0,0,0,1.78716,4.6224,1.34075,3.83416e-05,3.83416e-05,3.83416e-05
8,16.6263,1.74787,4.41224,1.38173,0,0,0,0,1.69889,4.61591,1.28253,4.15822e-05,4.15822e-05,4.15822e-05
9,18.6776,1.53253,4.31651,1.3212,0,0,0,0,1.65271,4.58894,1.23456,4.39229e-05,4.39229e-05,4.39229e-05
10,20.6516,1.61283,4.24915,1.32091,0,0,0,0,1.6203,4.57678,1.20093,4.53636e-05,4.53636e-05,4.53636e-05
11,22.6628,1.49503,4.28841,1.2504,0,0,0,0,1.57603,4.56237,1.17638,4.59045e-05,4.59045e-05,4.59045e-05
12,24.6321,1.62462,4.34353,1.24782,0,0,0,0,1.56551,4.54996,1.16297,4.55454e-05,4.55454e-05,4.55454e-05
13,26.6743,1.51916,4.28646,1.211,0,0,0,0,1.54826,4.53234,1.1474,4.42865e-05,4.42865e-05,4.42865e-05
14,28.6844,1.39974,4.11737,1.14481,0,0,0,0,1.53917,4.51664,1.13908,4.21276e-05,4.21276e-05,4.21276e-05
15,30.7351,1.44789,4.20669,1.1892,0,0,0,0,1.53557,4.50511,1.1299,3.90688e-05,3.90688e-05,3.90688e-05
16,32.7135,1.42562,4.12539,1.13373,0,0,0,0,1.5309,4.48704,1.12152,3.51101e-05,3.51101e-05,3.51101e-05
17,34.6523,1.43251,4.0461,1.19549,0,0,0,0,1.5314,4.46939,1.11571,3.02515e-05,3.02515e-05,3.02515e-05
18,36.618,1.3958,4.02684,1.11072,0,0,0,0,1.5314,4.46939,1.11571,2.4493e-05,2.4493e-05,2.4493e-05
19,38.6452,1.57923,4.15726,1.12541,0,0,0,0,1.52846,4.45869,1.11327,1.78346e-05,1.78346e-05,1.78346e-05
20,40.5501,1.39512,4.00615,1.11732,0,0,0,0,1.52846,4.45869,1.11327,1.02762e-05,1.02762e-05,1.02762e-05
