epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.73312,1.72296,4.41882,1.65104,0.00122,0.00357,0.0007,0.00027,1.94521,4.57071,1.62828,1.818e-05,1.818e-05,1.818e-05
2,12.7455,1.64393,4.38619,1.55291,0.00157,0.00357,0.00086,0.00034,1.82012,4.55005,1.543,4.53e-05,4.53e-05,4.53e-05
3,18.7318,1.60657,4.15546,1.48174,0.00181,0.00357,0.00098,0.00039,1.76603,4.50798,1.45592,7.224e-05,7.224e-05,7.224e-05
4,24.5836,1.34345,3.8714,1.30851,0.00311,0.00357,0.00196,0.00144,1.75236,4.46257,1.40838,9.90001e-05,9.90001e-05,9.90001e-05
5,30.4554,1.47173,3.65522,1.28487,0.00305,0.01456,0.00548,0.00302,1.69611,4.3912,1.34448,0.00012558,0.00012558,0.00012558
6,36.6043,1.43558,3.19037,1.21665,0.02615,0.05558,0.02123,0.00812,1.68203,4.33016,1.31508,0.00015198,0.00015198,0.00015198
7,42.6643,1.37282,2.68382,1.22105,0.03051,0.05946,0.03739,0.01347,1.67963,4.23729,1.30279,0.0001782,0.0001782,0.0001782
8,48.5685,1.34348,2.36152,1.22695,0.04125,0.08118,0.0495,0.02005,1.70723,4.1752,1.28255,0.00020424,0.00020424,0.00020424
9,54.4943,1.36141,2.25523,1.251,0.03284,0.08533,0.05125,0.02239,1.7242,4.03364,1.27315,0.000230101,0.000230101,0.000230101
10,60.487,1.3938,2.05618,1.15723,0.05073,0.16737,0.08052,0.0384,1.7393,3.95238,1.27736,0.000255781,0.000255781,0.000255781
11,66.3031,1.33742,1.92803,1.18079,0.03843,0.19324,0.09878,0.04873,1.76455,3.82556,1.29642,0.000281281,0.000281281,0.000281281
12,72.1657,1.31961,1.98611,1.1859,0.03554,0.2194,0.1006,0.04826,1.77153,3.77966,1.28555,0.000306601,0.000306601,0.000306601
13,77.9797,1.33652,1.88736,1.17366,0.03666,0.22954,0.09365,0.04546,1.73948,3.71991,1.27389,0.000331741,0.000331741,0.000331741
14,83.8029,1.27102,1.69843,1.11709,0.04111,0.22983,0.10436,0.05339,1.73161,3.68735,1.26214,0.000356702,0.000356702,0.000356702
15,89.811,1.30569,1.73544,1.12733,0.03484,0.23398,0.11705,0.06106,1.7553,3.60527,1.26306,0.000381482,0.000381482,0.000381482
16,95.7397,1.18771,1.69238,1.08377,0.03042,0.26641,0.14503,0.07646,1.77713,3.55905,1.28112,0.000406082,0.000406082,0.000406082
