epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,101.565,1.2223,1.6549,1.09959,0.02873,0.33092,0.16254,0.07867,1.78514,3.46816,1.2733,0.000430502,0.000430502,0.000430502
18,107.389,1.30487,1.58872,1.15698,0.0298,0.40592,0.18117,0.08265,1.80447,3.40029,1.28659,0.000454743,0.000454743,0.000454743
19,113.289,1.2592,1.67324,1.13778,0.03172,0.49548,0.23887,0.10799,1.77111,3.28519,1.26677,0.000478803,0.000478803,0.000478803
20,119.261,1.27168,1.45265,1.08142,0.82008,0.11309,0.25952,0.12571,1.76495,3.10172,1.28386,0.000502683,0.000502683,0.000502683
21,125.316,1.24564,1.38233,1.10133,1,0.07987,0.28108,0.13795,1.78207,2.94221,1.3206,0.000526384,0.000526384,0.000526384
22,131.16,1.27522,1.42788,1.10508,0.83887,0.08608,0.28991,0.15027,1.86026,2.8354,1.3553,0.000549904,0.000549904,0.000549904
23,137.077,1.31293,1.40699,1.13384,0.83273,0.12445,0.32984,0.17556,1.86963,2.78353,1.36382,0.000573244,0.000573244,0.000573244
24,143.004,1.33629,1.46472,1.14514,0.95976,0.14193,0.35585,0.19573,1.79888,2.72187,1.32168,0.000596405,0.000596405,0.000596405
25,148.879,1.16835,1.37197,1.09621,0.97083,0.14114,0.38317,0.20719,1.78329,2.6958,1.31725,0.000619385,0.000619385,0.000619385
26,154.789,1.27114,1.42665,1.11176,0.82768,0.16637,0.39467,0.20469,1.81814,2.69274,1.33684,0.000642186,0.000642186,0.000642186
27,160.648,1.19254,1.23743,1.10482,0.9676,0.13746,0.35516,0.1755,1.82819,2.67376,1.33314,0.000664806,0.000664806,0.000664806
28,166.526,1.15988,1.27068,1.06968,0.98741,0.16185,0.34798,0.17643,1.72589,2.67785,1.29716,0.000687247,0.000687247,0.000687247
29,172.443,1.1567,1.20308,1.06512,0.98741,0.16185,0.34798,0.17643,1.72589,2.67785,1.29716,0.000709507,0.000709507,0.000709507
30,178.342,1.19251,1.25021,1.07175,0.98749,0.15497,0.35398,0.18488,1.65846,2.69512,1.28117,0.000731588,0.000731588,0.000731588
31,183.972,1.12248,1.29259,1.11827,0.98611,0.14775,0.33308,0.1854,1.63236,2.733,1.27968,0.000753488,0.000753488,0.000753488
32,189.826,1.25322,1.3184,1.08586,0.90182,0.176,0.3594,0.1943,1.62908,2.68589,1.28889,0.000775209,0.000775209,0.000775209
33,195.555,1.19924,1.27491,1.14932,0.90182,0.176,0.3594,0.1943,1.62908,2.68589,1.28889,0.000796749,0.000796749,0.000796749
34,201.484,1.20937,1.25068,1.11554,0.7292,0.17063,0.37458,0.2021,1.66017,2.56712,1.31823,0.00081001,0.00081001,0.00081001
35,207.463,1.13693,1.16064,1.05532,0.67863,0.24794,0.37522,0.19,1.6886,2.48338,1.33881,0.00080701,0.00080701,0.00080701
36,213.404,1.13099,1.15998,1.05042,0.67435,0.2904,0.37464,0.18406,1.7055,2.39699,1.3273,0.00080401,0.00080401,0.00080401
37,219.355,1.13961,1.13258,1.02957,0.67435,0.2904,0.37464,0.18406,1.7055,2.39699,1.3273,0.000801011,0.000801011,0.000801011
38,225.267,1.17339,1.21205,1.07707,0.67025,0.32967,0.38683,0.18959,1.7315,2.32962,1.33639,0.000798011,0.000798011,0.000798011
39,231.184,1.14256,1.14956,1.06486,0.67905,0.38472,0.41281,0.20333,1.70315,2.22908,1.32835,0.000795011,0.000795011,0.000795011
40,237.112,1.13471,1.08991,1.05962,0.70337,0.42444,0.45237,0.22995,1.7117,2.11839,1.30675,0.000792012,0.000792012,0.000792012
41,242.997,1.11797,1.07678,1.06398,0.70337,0.42444,0.45237,0.22995,1.7117,2.11839,1.30675,0.000789012,0.000789012,0.000789012
42,248.954,1.12695,1.09807,1.04579,0.71233,0.41351,0.45756,0.24037,1.75206,2.04007,1.32561,0.000786012,0.000786012,0.000786012
43,254.823,1.1181,1.0388,1.00724,0.74349,0.41982,0.46943,0.24204,1.79748,2.01291,1.33383,0.000783013,0.000783013,0.000783013
44,260.722,1.07024,1.07537,1.04456,0.7881,0.35009,0.45818,0.23301,1.82677,2.02932,1.32708,0.000780013,0.000780013,0.000780013
45,266.582,1.10077,1.04824,1.02978,0.7881,0.35009,0.45818,0.23301,1.82677,2.02932,1.32708,0.000777013,0.000777013,0.000777013
46,272.502,1.11805,1.06192,1.05727,0.61932,0.33514,0.43467,0.21502,1.8188,1.99433,1.34414,0.000774013,0.000774013,0.000774013
47,278.279,1.08526,1.04269,1.03795,0.65149,0.41946,0.48523,0.24567,1.81358,1.85746,1.3664,0.000771014,0.000771014,0.000771014
48,284.087,1.00207,0.99776,1.00781,0.68795,0.48376,0.52557,0.26255,1.82446,1.7832,1.3767,0.000768014,0.000768014,0.000768014
49,289.923,1.11293,1.02299,1.04762,0.68795,0.48376,0.52557,0.26255,1.82446,1.7832,1.3767,0.000765014,0.000765014,0.000765014
50,296.883,1.11745,0.98491,1.05998,0.67336,0.46392,0.51706,0.259,1.81905,1.77511,1.37173,0.000762015,0.000762015,0.000762015
51,303.596,1.01218,0.97628,1.01728,0.63996,0.42337,0.49244,0.24424,1.7979,1.81686,1.35254,0.000759015,0.000759015,0.000759015
52,310.218,1.01228,0.96836,1.01811,0.61133,0.40874,0.47589,0.22694,1.77995,1.89457,1.34722,0.000756015,0.000756015,0.000756015
53,316.846,1.0132,0.93692,1.00644,0.61133,0.40874,0.47589,0.22694,1.77995,1.89457,1.34722,0.000753016,0.000753016,0.000753016
54,323.544,1.04254,0.99482,0.99831,0.58655,0.41434,0.47256,0.21833,1.80691,1.94938,1.37372,0.000750016,0.000750016,0.000750016
55,330.101,1.0393,0.96564,1.01162,0.58382,0.41257,0.49138,0.2209,1.81162,1.90364,1.37474,0.000747016,0.000747016,0.000747016
56,336.379,1.05594,0.99351,1.03243,0.69957,0.49527,0.53927,0.26639,1.7668,1.8153,1.34784,0.000744016,0.000744016,0.000744016
57,342.714,1.05924,0.96549,1.01809,0.69957,0.49527,0.53927,0.26639,1.7668,1.8153,1.34784,0.000741017,0.000741017,0.000741017
58,349.051,1.05052,0.9075,1.00732,0.72466,0.54964,0.56494,0.29493,1.71606,1.69443,1.34063,0.000738017,0.000738017,0.000738017
59,355.345,1.01122,0.94205,1.02427,0.73085,0.5432,0.60731,0.31354,1.7048,1.59317,1.3405,0.000735017,0.000735017,0.000735017
60,361.715,1.05365,0.92646,0.99075,0.76074,0.53045,0.59514,0.30727,1.71558,1.57775,1.3537,0.000732018,0.000732018,0.000732018
61,368.07,1.02866,0.88844,1.02595,0.76074,0.53045,0.59514,0.30727,1.71558,1.57775,1.3537,0.000729018,0.000729018,0.000729018
62,374.414,0.995,0.85904,0.99854,0.71646,0.50972,0.57854,0.28587,1.732,1.63283,1.37428,0.000726018,0.000726018,0.000726018
63,380.936,0.98445,0.88126,1.00309,0.64779,0.46742,0.56736,0.28293,1.73143,1.7305,1.35606,0.000723019,0.000723019,0.000723019
64,387.788,0.95283,0.8808,0.98464,0.70009,0.49537,0.58433,0.29217,1.72411,1.72763,1.35555,0.000720019,0.000720019,0.000720019
65,394.896,0.97481,0.82757,1.03792,0.70009,0.49537,0.58433,0.29217,1.72411,1.72763,1.35555,0.000717019,0.000717019,0.000717019
66,402.032,0.93769,0.81198,0.99317,0.7832,0.58358,0.60803,0.31116,1.71981,1.62775,1.35026,0.000714019,0.000714019,0.000714019
67,409.179,0.98392,0.88255,1.00242,0.78963,0.60746,0.62568,0.31224,1.73221,1.51287,1.35647,0.00071102,0.00071102,0.00071102
68,416.174,1.03587,0.91983,1.01203,0.79757,0.61534,0.63232,0.32534,1.71904,1.42334,1.33811,0.00070802,0.00070802,0.00070802
69,423.02,1.00817,0.89701,0.99419,0.79757,0.61534,0.63232,0.32534,1.71904,1.42334,1.33811,0.00070502,0.00070502,0.00070502
70,429.93,0.94006,0.8616,0.98174,0.80372,0.63804,0.64366,0.33821,1.69466,1.38021,1.32836,0.000702021,0.000702021,0.000702021
71,436.803,0.95334,0.88755,1.00821,0.78432,0.64519,0.644,0.33913,1.70295,1.40168,1.34181,0.000699021,0.000699021,0.000699021
72,443.786,1.0044,0.87543,1.02544,0.77153,0.59831,0.63829,0.35149,1.70377,1.40702,1.33457,0.000696021,0.000696021,0.000696021
73,450.698,0.9298,0.84501,1.00552,0.77153,0.59831,0.63829,0.35149,1.70377,1.40702,1.33457,0.000693022,0.000693022,0.000693022
74,457.183,0.97265,0.88196,0.99513,0.79764,0.59094,0.66963,0.36686,1.68506,1.34818,1.31527,0.000690022,0.000690022,0.000690022
75,463.795,1.00616,0.85982,0.98997,0.89419,0.58452,0.69254,0.38011,1.66543,1.25902,1.30091,0.000687022,0.000687022,0.000687022
76,470.342,0.91555,0.89127,1.00561,0.8169,0.62648,0.68416,0.37344,1.6624,1.234,1.29931,0.000684022,0.000684022,0.000684022
77,476.783,0.96193,0.79225,1.00765,0.8169,0.62648,0.68416,0.37344,1.6624,1.234,1.29931,0.000681023,0.000681023,0.000681023
78,483.36,0.96275,0.8722,1.01005,0.8289,0.62639,0.68722,0.37255,1.6521,1.24962,1.3042,0.000678023,0.000678023,0.000678023
79,490.044,0.93363,0.80283,0.95606,0.82612,0.63907,0.70145,0.37372,1.67524,1.26705,1.323,0.000675023,0.000675023,0.000675023
80,496.751,0.95724,0.85365,0.99205,0.80323,0.64831,0.69347,0.37057,1.66587,1.29284,1.33746,0.000672024,0.000672024,0.000672024
81,503.212,0.91669,0.79514,0.98308,0.80323,0.64831,0.69347,0.37057,1.66587,1.29284,1.33746,0.000669024,0.000669024,0.000669024
82,509.651,0.90029,0.78226,0.98891,0.76024,0.66346,0.68433,0.3698,1.68306,1.31239,1.35942,0.000666024,0.000666024,0.000666024
83,516.572,0.9075,0.76274,0.98743,0.75334,0.66115,0.67235,0.36476,1.67715,1.30992,1.36005,0.000663025,0.000663025,0.000663025
84,522.459,0.9466,0.8109,0.97449,0.7441,0.69175,0.6778,0.3712,1.66943,1.25485,1.34891,0.000660025,0.000660025,0.000660025
85,528.216,0.96832,0.82607,1.01642,0.7441,0.69175,0.6778,0.3712,1.66943,1.25485,1.34891,0.000657025,0.000657025,0.000657025
86,533.975,0.92935,0.76882,1.00211,0.72757,0.69161,0.67789,0.36528,1.68754,1.24536,1.33732,0.000654025,0.000654025,0.000654025
87,539.978,0.9354,0.76971,0.96765,0.70149,0.69336,0.66276,0.35863,1.6889,1.26107,1.33303,0.000651026,0.000651026,0.000651026
88,545.848,0.93046,0.78247,0.94237,0.70116,0.67282,0.65552,0.35577,1.68325,1.28682,1.33661,0.000648026,0.000648026,0.000648026
89,551.458,0.87498,0.7478,0.98681,0.70116,0.67282,0.65552,0.35577,1.68325,1.28682,1.33661,0.000645026,0.000645026,0.000645026
90,557.158,0.89774,0.78327,0.96501,0.72275,0.66829,0.65885,0.35458,1.67175,1.33143,1.34276,0.000642027,0.000642027,0.000642027
91,563.463,0.89278,0.77603,0.99561,0.72825,0.6436,0.66217,0.36559,1.64055,1.34373,1.33441,0.000639027,0.000639027,0.000639027
92,569.213,0.90243,0.75977,0.96464,0.74259,0.63645,0.655,0.36221,1.62774,1.36004,1.32164,0.000636027,0.000636027,0.000636027
93,574.923,0.92678,0.79907,0.97389,0.74259,0.63645,0.655,0.36221,1.62774,1.36004,1.32164,0.000633028,0.000633028,0.000633028
94,580.679,0.91372,0.7664,1.00691,0.75718,0.62351,0.65209,0.35922,1.64606,1.33276,1.31188,0.000630028,0.000630028,0.000630028
95,586.378,0.92616,0.78379,0.96194,0.77096,0.64393,0.66087,0.35657,1.65135,1.28924,1.315,0.000627028,0.000627028,0.000627028
96,592.168,0.86812,0.71629,0.97659,0.75026,0.66761,0.66952,0.35914,1.65728,1.25144,1.33387,0.000624028,0.000624028,0.000624028
97,597.887,0.90746,0.79446,1.0027,0.75026,0.66761,0.66952,0.35914,1.65728,1.25144,1.33387,0.000621029,0.000621029,0.000621029
98,603.586,0.88585,0.71161,0.93972,0.76413,0.67804,0.67287,0.37127,1.65335,1.24197,1.33219,0.000618029,0.000618029,0.000618029
99,609.331,0.94743,0.75385,0.97415,0.74372,0.6749,0.69519,0.36776,1.6762,1.24195,1.33356,0.000615029,0.000615029,0.000615029
100,615.075,0.90535,0.74198,0.93777,0.76861,0.66418,0.70131,0.3578,1.7242,1.24031,1.34831,0.00061203,0.00061203,0.00061203
101,620.662,0.9233,0.75867,0.98562,0.76861,0.66418,0.70131,0.3578,1.7242,1.24031,1.34831,0.00060903,0.00060903,0.00060903
102,626.276,0.88236,0.71192,0.97311,0.70524,0.68767,0.68657,0.36645,1.70553,1.25039,1.34872,0.00060603,0.00060603,0.00060603
103,633.132,0.9648,0.74395,0.95629,0.79121,0.6214,0.66468,0.36574,1.67359,1.27174,1.35171,0.000603031,0.000603031,0.000603031
104,640.954,0.87164,0.73109,0.97002,0.80216,0.62729,0.6808,0.37245,1.68731,1.27993,1.35346,0.000600031,0.000600031,0.000600031
105,648.539,0.91733,0.74676,0.95688,0.80216,0.62729,0.6808,0.37245,1.68731,1.27993,1.35346,0.000597031,0.000597031,0.000597031
106,656.279,0.86507,0.69865,0.93495,0.86901,0.59727,0.6887,0.35813,1.71711,1.27748,1.35219,0.000594031,0.000594031,0.000594031
107,663.849,0.89347,0.71845,0.94375,0.84975,0.5823,0.68924,0.33053,1.77539,1.29648,1.38489,0.000591032,0.000591032,0.000591032
108,671.316,0.84734,0.70683,0.93999,0.85928,0.56095,0.68472,0.34758,1.74608,1.25965,1.37023,0.000588032,0.000588032,0.000588032
109,678.773,0.85086,0.69832,0.95312,0.85928,0.56095,0.68472,0.34758,1.74608,1.25965,1.37023,0.000585032,0.000585032,0.000585032
110,686.5,0.87581,0.7259,0.95495,0.74652,0.59939,0.68241,0.36209,1.68,1.21782,1.34748,0.000582033,0.000582033,0.000582033
111,694.019,0.8454,0.70067,0.93369,0.7734,0.60814,0.67944,0.3698,1.67127,1.21721,1.34129,0.000579033,0.000579033,0.000579033
112,701.59,0.83069,0.68702,0.95727,0.71855,0.64016,0.66773,0.35912,1.68769,1.25093,1.34184,0.000576033,0.000576033,0.000576033
113,709.746,0.82463,0.69949,0.96173,0.71855,0.64016,0.66773,0.35912,1.68769,1.25093,1.34184,0.000573034,0.000573034,0.000573034
114,717.272,0.88634,0.70829,0.94301,0.66967,0.66752,0.67354,0.34994,1.7241,1.26275,1.34918,0.000570034,0.000570034,0.000570034
115,724.837,0.85858,0.69208,0.95447,0.83562,0.57322,0.67749,0.35093,1.71479,1.24519,1.33415,0.000567034,0.000567034,0.000567034
116,732.367,0.91459,0.7337,0.99108,0.86937,0.58248,0.67156,0.36268,1.66767,1.21457,1.31334,0.000564034,0.000564034,0.000564034
117,739.834,0.86289,0.72307,0.9613,0.86937,0.58248,0.67156,0.36268,1.66767,1.21457,1.31334,0.000561035,0.000561035,0.000561035
118,747.455,0.8737,0.7014,0.93875,0.85079,0.58467,0.67325,0.36288,1.64948,1.19715,1.31045,0.000558035,0.000558035,0.000558035
119,754.938,0.82374,0.69266,0.95224,0.83267,0.58223,0.67024,0.35564,1.68353,1.20837,1.33872,0.000555035,0.000555035,0.000555035
120,762.541,0.81843,0.65798,0.92864,0.66654,0.69173,0.67561,0.34754,1.72574,1.22634,1.36064,0.000552036,0.000552036,0.000552036
121,769.291,0.82065,0.66028,0.94677,0.66654,0.69173,0.67561,0.34754,1.72574,1.22634,1.36064,0.000549036,0.000549036,0.000549036
122,776.236,0.83911,0.67144,0.95038,0.66172,0.6953,0.67205,0.34203,1.72119,1.213,1.36022,0.000546036,0.000546036,0.000546036
123,783.908,0.82484,0.69957,0.95474,0.66036,0.69458,0.66372,0.35607,1.71148,1.20084,1.36622,0.000543037,0.000543037,0.000543037
124,791.356,0.82363,0.69629,0.94886,0.63302,0.69866,0.64999,0.3529,1.70427,1.23503,1.364,0.000540037,0.000540037,0.000540037
125,797.994,0.78903,0.6791,0.92706,0.63302,0.69866,0.64999,0.3529,1.70427,1.23503,1.364,0.000537037,0.000537037,0.000537037
126,805.578,0.83873,0.66664,0.95231,0.66375,0.70579,0.66158,0.3625,1.68528,1.24803,1.3485,0.000534037,0.000534037,0.000534037
127,813.068,0.80671,0.66446,0.92794,0.81567,0.58309,0.66822,0.35208,1.71573,1.22125,1.35274,0.000531038,0.000531038,0.000531038
128,819.646,0.75885,0.63723,0.93473,0.84073,0.60807,0.67273,0.35141,1.71892,1.20268,1.34624,0.000528038,0.000528038,0.000528038
129,825.323,0.79466,0.66445,0.94256,0.84073,0.60807,0.67273,0.35141,1.71892,1.20268,1.34624,0.000525038,0.000525038,0.000525038
130,831.157,0.75401,0.63759,0.92911,0.87789,0.61131,0.68512,0.35762,1.6898,1.18537,1.33362,0.000522039,0.000522039,0.000522039
131,837.022,0.76491,0.65056,0.95764,0.84211,0.59173,0.68347,0.36809,1.66244,1.17994,1.33268,0.000519039,0.000519039,0.000519039
132,842.791,0.87622,0.68957,0.96332,0.66807,0.69698,0.68318,0.37597,1.65847,1.16476,1.33671,0.000516039,0.000516039,0.000516039
133,848.83,0.77404,0.63785,0.9428,0.66807,0.69698,0.68318,0.37597,1.65847,1.16476,1.33671,0.00051304,0.00051304,0.00051304
134,855.889,0.83859,0.65175,0.96461,0.71231,0.67214,0.67189,0.36349,1.66801,1.15894,1.34495,0.00051004,0.00051004,0.00051004
135,863.161,0.78755,0.63477,0.93638,0.77066,0.67032,0.66058,0.35044,1.70668,1.17429,1.37232,0.00050704,0.00050704,0.00050704
136,870.673,0.84644,0.66216,0.94729,0.75479,0.66928,0.65498,0.3533,1.70727,1.17906,1.38176,0.00050404,0.00050404,0.00050404
137,878.142,0.78685,0.65064,0.90954,0.75479,0.66928,0.65498,0.3533,1.70727,1.17906,1.38176,0.000501041,0.000501041,0.000501041
138,885.818,0.78989,0.64454,0.92634,0.73776,0.66079,0.65215,0.35562,1.66704,1.15415,1.35756,0.000498041,0.000498041,0.000498041
139,893.424,0.83501,0.64201,0.91542,0.77619,0.64853,0.66924,0.36963,1.63525,1.14791,1.33135,0.000495041,0.000495041,0.000495041
140,900.954,0.78656,0.64389,0.92602,0.76825,0.6619,0.68738,0.37748,1.65072,1.16655,1.32578,0.000492042,0.000492042,0.000492042
141,908.682,0.78511,0.64634,0.92912,0.76825,0.6619,0.68738,0.37748,1.65072,1.16655,1.32578,0.000489042,0.000489042,0.000489042
142,916.338,0.74679,0.64997,0.91751,0.81437,0.63062,0.71543,0.37267,1.67765,1.19565,1.33761,0.000486042,0.000486042,0.000486042
143,923.858,0.77969,0.65125,0.92662,0.66291,0.68952,0.71274,0.35632,1.69776,1.21521,1.35458,0.000483043,0.000483043,0.000483043
144,931.483,0.80361,0.61468,0.91555,0.68555,0.68161,0.71657,0.36034,1.71057,1.19221,1.36525,0.000480043,0.000480043,0.000480043
145,939.04,0.80661,0.62923,0.92424,0.68555,0.68161,0.71657,0.36034,1.71057,1.19221,1.36525,0.000477043,0.000477043,0.000477043
146,946.571,0.78686,0.64378,0.92354,0.7151,0.67625,0.71176,0.3665,1.7043,1.17717,1.36743,0.000474043,0.000474043,0.000474043
147,953.979,0.7755,0.63681,0.9506,0.76056,0.63694,0.68503,0.35595,1.71514,1.20388,1.38134,0.000471044,0.000471044,0.000471044
148,961.41,0.76591,0.62794,0.92903,0.72315,0.6249,0.67168,0.36512,1.71587,1.21872,1.38571,0.000468044,0.000468044,0.000468044
149,969.057,0.80504,0.63364,0.92598,0.72315,0.6249,0.67168,0.36512,1.71587,1.21872,1.38571,0.000465044,0.000465044,0.000465044
150,976.606,0.77082,0.6198,0.92886,0.79954,0.60807,0.6692,0.36241,1.70165,1.21079,1.38527,0.000462045,0.000462045,0.000462045
151,984.193,0.7546,0.58994,0.90621,0.78831,0.63652,0.66355,0.35896,1.69851,1.19223,1.38966,0.000459045,0.000459045,0.000459045
152,991.704,0.71034,0.61127,0.9128,0.73238,0.64619,0.66279,0.35555,1.69944,1.1802,1.38898,0.000456045,0.000456045,0.000456045
153,999.109,0.74308,0.61962,0.93745,0.73238,0.64619,0.66279,0.35555,1.69944,1.1802,1.38898,0.000453046,0.000453046,0.000453046
154,1006.71,0.79352,0.64652,0.94108,0.76471,0.64065,0.68517,0.36499,1.70389,1.18387,1.39093,0.000450046,0.000450046,0.000450046
155,1014.22,0.75639,0.65612,0.93267,0.80521,0.63369,0.68297,0.36884,1.70789,1.18261,1.38662,0.000447046,0.000447046,0.000447046
156,1021.74,0.75321,0.62403,0.91877,0.75663,0.61364,0.68927,0.37263,1.72502,1.18127,1.39044,0.000444046,0.000444046,0.000444046
157,1029.15,0.72294,0.60374,0.92242,0.75663,0.61364,0.68927,0.37263,1.72502,1.18127,1.39044,0.000441047,0.000441047,0.000441047
158,1036.71,0.74779,0.60652,0.92129,0.69144,0.61269,0.68446,0.36875,1.71637,1.182,1.38623,0.000438047,0.000438047,0.000438047
159,1044.16,0.69635,0.61955,0.92052,0.72438,0.57996,0.6824,0.37173,1.70747,1.17819,1.38174,0.000435047,0.000435047,0.000435047
160,1051.65,0.73471,0.59354,0.93582,0.80102,0.54512,0.68059,0.37343,1.70047,1.16865,1.37915,0.000432048,0.000432048,0.000432048
161,1057.01,0.76188,0.62016,0.90968,0.80102,0.54512,0.68059,0.37343,1.70047,1.16865,1.37915,0.000429048,0.000429048,0.000429048
162,1064.43,0.7107,0.62691,0.912,0.82395,0.56112,0.6875,0.36786,1.71072,1.15689,1.38539,0.000426048,0.000426048,0.000426048
163,1071.93,0.75669,0.63038,0.92451,0.75298,0.60531,0.67668,0.35899,1.70847,1.17017,1.38752,0.000423049,0.000423049,0.000423049
164,1079.41,0.72552,0.60578,0.92096,0.7902,0.61099,0.67002,0.3486,1.70162,1.19386,1.3813,0.000420049,0.000420049,0.000420049
165,1086.91,0.71787,0.59903,0.89797,0.7902,0.61099,0.67002,0.3486,1.70162,1.19386,1.3813,0.000417049,0.000417049,0.000417049
166,1094.45,0.75132,0.62059,0.90915,0.76838,0.62848,0.66961,0.34933,1.70598,1.20602,1.39264,0.000414049,0.000414049,0.000414049
167,1102.13,0.7472,0.59758,0.90058,0.75929,0.64606,0.66473,0.35385,1.70614,1.21676,1.40348,0.00041105,0.00041105,0.00041105
168,1109.64,0.72877,0.61258,0.91471,0.74606,0.6466,0.6628,0.34581,1.71495,1.22009,1.41357,0.00040805,0.00040805,0.00040805
169,1117.13,0.76652,0.59709,0.92122,0.74606,0.6466,0.6628,0.34581,1.71495,1.22009,1.41357,0.00040505,0.00040505,0.00040505
170,1124.63,0.68851,0.59391,0.90422,0.69443,0.6472,0.66594,0.33703,1.72003,1.21879,1.41077,0.000402051,0.000402051,0.000402051
171,1132.18,0.69629,0.5831,0.92221,0.65652,0.64321,0.65945,0.33882,1.723,1.21301,1.4085,0.000399051,0.000399051,0.000399051
172,1139.74,0.67989,0.58091,0.90518,0.63491,0.67782,0.66443,0.34423,1.73015,1.21515,1.41693,0.000396051,0.000396051,0.000396051
173,1147.21,0.75531,0.65913,0.9177,0.63491,0.67782,0.66443,0.34423,1.73015,1.21515,1.41693,0.000393052,0.000393052,0.000393052
174,1153.08,0.74939,0.60194,0.89446,0.63228,0.68338,0.66256,0.32613,1.75552,1.22641,1.42719,0.000390052,0.000390052,0.000390052
175,1158.97,0.73142,0.58936,0.90416,0.64237,0.67396,0.65997,0.32091,1.77223,1.2239,1.44073,0.000387052,0.000387052,0.000387052
