epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10542,1.96223,4.48349,1.60196,0,0,0,0,2.06112,4.65882,1.49292,0,0,0
2,4.12926,1.97828,4.52681,1.62446,0,0,0,0,2.04993,4.65842,1.48656,4.59045e-06,4.59045e-06,4.59045e-06
